URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50159,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:10,,,,161419,7,41,,,,,0.0029296875,,,517,0,0,,0,0,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50158,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:10,,,,161411,1,40,98,,,,0.083984375,,,1122,0,7466,272,0,5074,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50168,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:11,,,,160432,4,28,88,,,,0.041015625,,,1148,0,3790,272,0,1608,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50167,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:11,,,,160432,5,43,98,,,,0.041015625,,,1148,0,3790,272,0,1551,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50169,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:11,,,,160431,4,37,99,,,,0.04296875,,,1122,0,3762,272,0,2025,,
https://dl.google.com,RECEIVING_RESPONSE_BODY,200,https,CONNECT,,/192.168.1.174,60068,dl.google.com/142.250.183.174,443,,01 Nov 2023 12:32:15,,,,156124,59,40,275,,,,45.530273,,,807,0,192,33551,0,7244560,,
https://rr2---sn-cvh76nlz.gvt1.com,COMPLETE,200,https,CONNECT,,/192.168.1.174,60076,rr2---sn-cvh76nlz.gvt1.com/173.194.154.167,443,,01 Nov 2023 12:32:16,,,01 Nov 2023 12:32:19,3027,309,39,142,,,,1760.2256,,,1040,0,928,260,0,5453853,,
https://www.googleapis.com,RECEIVED_RESPONSE_HEADER,200,https,CONNECT,,/127.0.0.1,50176,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:19,,,,152364,3,71,,,,,0.0029296875,,,558,0,0,,0,0,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50175,www.googleapis.com/172.217.160.202,443,,01 Nov 2023 12:32:19,,,,152364,3,71,114,,,,0.045898438,,,1122,0,3762,272,0,2120,,
https://rr5---sn-cvh76nl6.gvt1.com,COMPLETE,200,https,CONNECT,,/192.168.1.174,60092,rr5---sn-cvh76nl6.gvt1.com/173.194.154.202,443,,01 Nov 2023 12:32:20,,,01 Nov 2023 12:32:20,403,2,23,109,,,,408.02832,,,1040,0,851,260,0,166231,,
https://drivefrontend-pa.googleapis.com,COMPLETE,200,https,CONNECT,,/127.0.0.1,50180,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:20,,,01 Nov 2023 12:34:32,132288,2,61,127,,,,0.068359375,,,1040,0,1948,260,0,6029,,
https://rr2---sn-cvh76nes.gvt1.com,COMPLETE,200,https,CONNECT,,/192.168.1.174,60106,rr2---sn-cvh76nes.gvt1.com/173.194.14.39,443,,01 Nov 2023 12:32:20,,,01 Nov 2023 12:32:21,379,1,30,105,,,,175.14648,,,1040,0,914,260,0,65760,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50191,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:22,,,,149359,6,28,,,,,0.0029296875,,,517,0,0,,0,0,,
